Date,Content,Comment
2017-02-19,https://boxd.it/YjUS,King Kong should at least be in the top 100. 
2017-05-06,https://boxd.it/PJxC,">tfa below attack of the clones
>wot"
2017-11-16,https://boxd.it/lq2d3,>goldbloom
2017-11-22,https://boxd.it/1kiay,How is Stalker not on here?
2018-02-22,https://boxd.it/1gtTc,lol bad taste!!!!11
2018-04-10,https://boxd.it/1E4z0,">jurassic world over tintin, the goonies, and gremlins 2

oh no"
2018-04-12,https://boxd.it/1E4z0,"gremlins 2 has a lot of interesting stuff going for it.
jurassic world is like watching paint dry.

stop with the gremlins 2 hate smh"
2018-04-14,https://boxd.it/1BXXK,"Why not make a separate list for Muppet films?
They aren't really animated lol"
2018-04-19,https://boxd.it/r9R2Z,fuck hold up
2018-04-19,https://boxd.it/r9R2Z,fixed
2018-04-21,https://boxd.it/rcORL,he deserves it tbh
2018-04-21,https://boxd.it/rbnzt,best star wars review i've ever read tbh
2018-04-21,https://boxd.it/r9R2Z,"it's on youtube
it's the first thing you find when you search ""karate dragon brothers""

it's goog"
2018-04-22,https://boxd.it/rfcOZ,nickelback are better
2018-05-02,https://boxd.it/1HL38,solo and jurassic world 2 look so bad holy shit
2018-05-02,https://boxd.it/1HL38,"i'm more excited for the new ant-man film, and that's REALLY saying something"
2018-05-03,https://boxd.it/1HL38,also why did you give a harry styles concert video a 10
2018-05-03,https://boxd.it/1HL38,"you can just unselect watched. it's not too difficult.

also, idk, a 6 i guess? it's not that good but it's serviceable "
2018-05-05,https://boxd.it/rHTwv,">giving plan 9 a 3/10

literally blasphemy"
2018-05-07,https://boxd.it/r5s0r,"i can confirm that this is true
"
2018-05-08,https://boxd.it/rOSFv,"i agree tbh

as a big fan of character-driven narratives i found this film incredibly dull"
2018-05-08,https://boxd.it/rOSFv,fun in the theater but i can't imagine the home-viewing experience to be very enjoyable
2018-05-13,https://boxd.it/rHTwv,"dracula's orgy is uh
definitely not the one you wanna watch"
2018-05-13,https://boxd.it/rHTwv,it's one of his weird sex-pervert films from the 70's if i remember rightly
2018-05-13,https://boxd.it/rHTwv,watch glen or glenda or bride of the monster instead
2018-05-14,https://boxd.it/rHTwv,"i mean, while none of his movies were objectively ""good"", i don't think woods films were much better or worse than any of the other drive-in horror films of his time. to answer your question, both of them are basically in the same in terms of quality but i think plan 9 has more charm"
2018-05-17,https://boxd.it/1KY0W,"Psycho is an absolute masterpiece, glad to see you watched it.

Do Vertigo next."
2018-05-17,https://boxd.it/rQ4XX,"I mean, surely if the home-viewing experience isn't anywhere near as powerful as it is in a cinema, that should be a pretty major detriment?"
2018-05-17,https://boxd.it/rQ4XX,Fair enough I guess.
2018-06-03,https://boxd.it/sFbnT,"Wow, am I the only one out of all of us who actually thought it was the best of the new films?"
2018-06-09,https://boxd.it/sNvqz,holy SHIT YOU WATCHED THE FUCKING TOXIC AVENGER
2018-06-09,https://boxd.it/sNvqz,good lad
